x,y,labels
17.094598270140892,4.625816172777499,1.0
17.747375292389705,6.003444069742413,1.0
18.139041505738994,6.735308890005022,1.0
18.595985421313166,7.639377197388248,1.0
19.477234401349072,9.49056468393485,1.0
20.521677636947175,11.729210016502833,1.0
21.859870532557252,14.398364066872354,1.0
21.207093510308432,13.40819401592882,1.0
20.423761083609854,13.106837913467746,1.0
19.183484741337104,12.116667862524217,1.0
18.56334657020073,11.600057401162372,1.0
18.00848610128923,10.695989093779149,1.0
17.682097590164823,9.533615555715002,1.0
17.355709079040416,8.457343761211163,1.0
17.159875972365768,7.07971586424625,1.0
18.432791165750963,5.917342326182105,1.0
19.673067508023713,6.1325966850828735,1.0
20.586955339172057,6.993614120685944,1.0
21.272371212533315,8.28514027409055,1.0
21.631398574770166,9.447513812154696,1.0
21.859870532557252,10.609887350218841,1.0
21.859870532557252,11.944464375403602,1.0
21.859870532557252,13.322092272368515,1.0
19.70570635913616,11.815311760063139,1.0
18.922373932437573,10.437683863098227,1.0
18.66126312353805,9.834971658176077,1.0
18.204319207963877,8.801750735452393,1.0
17.845291845727026,7.639377197388248,1.0
18.889735081325135,6.864461505345483,1.0
19.966817168035682,7.251919351366865,1.0
20.325844530272533,8.155987658750089,1.0
20.717510743621823,8.8878524790127,1.0
21.109176956971112,9.964124273516537,1.0
21.207093510308432,11.384803042261606,1.0
19.934178316923244,10.868192580899763,1.0
20.815427296959143,10.523785606658535,1.0
20.325844530272533,9.964124273516537,1.0
19.640428656911276,8.672598120111932,1.0
18.889735081325135,8.672598120111932,1.0
19.31404014578687,7.983784171629475,1.0
20.325844530272533,9.146157709693622,1.0
21.01126040363379,12.633278323886056,1.0
21.761953979219932,15.689890220276958,1.0
20.848066148071588,15.044127143574656,1.0
19.934178316923244,14.441414938652507,1.0
18.889735081325135,14.053957092631126,1.0
18.106402654626557,13.235990528808209,1.0
17.257792525703096,12.07361699074406,1.0
16.605015503454275,10.179378632417306,1.0
16.37654354566719,8.672598120111932,1.0
16.08279388565522,7.165817607806558,1.0
15.854321927868137,5.831240582621797,1.0
